iter	Passed	Remaining
0	337	337466
1	453	226225
2	586	195016
3	698	173940
4	801	159411
5	895	148413
6	991	140586
7	1132	140454
8	1223	134775
9	1322	130937
10	1426	128272
11	1530	125999
12	1726	131086
13	1874	132030
14	2081	136683
15	2274	139876
16	2377	137490
17	2482	135409
18	2583	133404
19	2680	131320
20	2783	129767
21	2906	129213
22	3003	127576
23	3103	126220
24	3196	124682
25	3293	123372
26	3393	122280
27	3541	122936
28	3768	126164
29	3929	127043
30	4036	126168
31	4157	125764
32	4467	130920
33	4670	132696
34	4831	133221
35	5050	135237
36	5177	134745
37	5271	133457
38	5370	132326
39	5471	131323
40	5585	130655
41	5724	130573
42	5847	130141
43	5965	129622
44	6083	129111
445	6387	132463446	6643	134701
47	6794	134761
48	6927	134443
49	7021	133399
50	7121	132513
51	7220	131639
52	7309	130599
53	7406	129748
54	7487	128656
55	7577	127737
56	7671	126914
57	7759	126025
58	7845	125123
59	7958	124688
60	8075	124307
61	8246	124765
62	8329	123891
63	8440	123441
64	8558	123110
65	8684	122896
66	8781	122290
67	8867	121534
68	8968	121004
69	9040	120109
70	9121	119349
71	9260	119354
72	9504	120688
73	9597	120102
74	9702	119661
75	9822	119420
76	9906	118754
77	10024	118496
78	10122	118007
79	10217	117498
80	10300	116866
81	10430	116775
82	10530	116346
83	10649	116130
84	10788	116136
85	10950	116377
86	11161	117128
87	11332	117448
88	11480	117513
89	11614	117436
90	11716	117033
91	11827	116736
92	11930	116357
93	12012	115775
94	12085	115128
95	12168	114590
96	12256	114100
97	12337	113551
98	12446	113276
99	12541	112869
100	12636	112475
101	12735	112124
102	12829	111731
103	12923	111337
104	13017	110960
105	13121	110665
106	13234	110448
107	13321	110023
108	13426	109752
109	13515	109351
110	13604	108962
111	13700	108628
112	13814	108436
113	13899	108025
114	13992	107681
115	14095	107419
116	14181	107026
117	14275	106702
118	14365	106351
119	14448	105954
120	14539	105623
121	14644	105395
122	14724	104984
123	14810	104625
124	14899	104299
125	14984	103939
126	15091	103740
127	15187	103466
128	15271	103113
129	15372	102876
130	15492	102773
131	15594	102548
132	15684	102246
133	15765	101884
134	15859	101620
135	15944	101291
136	16029	100972
137	16116	100669
138	16213	100429
139	16298	100119
140	16386	99827
141	16474	99545
142	16567	99288
143144	16479	971144145	16576	969145146	16669	967146	16956	98391
147	17052	98166
148	17157	97993
149	17255	97782
150	17334	97465
151	17405	97104
152	17499	96875
153	17614	96765
154	17712	96562
155	17799	96298
156	17923	96238
157	18030	96087
158	18105	95767
159	18188	95490
160161	18098	936161162	18200	934162163	18293	932163164	18390	930164165	18493	929165166	18588	927166167	18693	925167168	18793	924168169	18898	922169170	18996	920170171	19093	919171172	19187	917172173	19280	915173174	19374	913174175	19476	91186
176	19566	909176177	19660	907177178	19761	90638
179	19852	904179180	19944	902180181	20034	900181182	20125	898182183	20224	89691
184	20312	894184185	20421	893185186	20527	892186187	20618	890187188	20715	888188189	20814	887189190	20912	88575
191	21013	88429
192	21108	88262
193	21208	88111
194	21310	87972
195	21411	87828
196	21513	87692
197	21613	87544
198	21718	87421
199	21820	87280
200	21922	87143
201	22009	86947
202	22118	86839
203	22211	86670
204	22304	86497
205	22403	86352
206	22496	86183
207	22596	86040
208	22703	85925
209	22802	85779
210	22899	85628
211	22990	85455
212	23080	85278
213	23178	85133
214	23273	84976
215	23371	84831
216	23469	84686
217	23568	84542
218	23663	84388
219	23761	84245
220	23851	84073
221	23949	83929
222	24047	837222223	24147	836223224	24238	834224225	24331	833225226	24422	831226227	24511	829227228	24605	828228229	24700	826229230	24787	825230231	24878	823231232	24964	821232233	25057	820233234	25156	818234235	25252	817235236	25348	816236237	25446	81470
238	25537	81315
239	25623	81139
240	25719	80999
241	25823	80886
242	25921	80750
243	26014	80601
244	26110	80463
245	26203	80314
246	26308	80202
247	26411	80085
248	26511	79959
249	26611	79835
250	26707	79697
251	26800	795251252	26903	794252253	27000	793253254	27102	791254255	27203	790255256	27299	789256257	27403	788257258	27506	786258259	27597	785259260	27694	784260261	27779	782261262	27875	781262263	27964	779263264	28058	778264265	28155	776265266	28244	775266267	28338	774267268	28430	772268269	28527	771269270	28618	769270271	28714	768271272	28806	767272273	28896	765273274	28994	764274275	29080	762275276	29171	761276277	29263	760277278	29366	758278279	29473	757279280	29572	756280281	29681	755281282	29776	754282283	29884	753283284	29988	752284285	30081	750285286	30167	749286287	30259	748287	30549	75525
288	30647	75399
289	30730	75237
